pango,root,total_samples,max_descendants,min_descendants,parent_max_descendants,parent_min_descendants,diff,diff_parent,relative_diff,relative_diff_parent
BA.5.2.7,1292363,158,158,158,158,158,0,0,0.0,0.0
BA.5.2.8,1284278,102,102,102,102,102,0,0,0.0,0.0
BA.5.2.9,1256911,2602,2571,2571,2576,2576,31,26,0.01191391237509608,0.009992313604919293
BA.5.3,1206741,169,169,169,169,169,0,0,0.0,0.0
BA.5.3.1,1189184,269,261,260,269,268,8,0,0.02973977695167286,0.0
BA.5.3.2,1205767,56,56,56,56,56,0,0,0.0,0.0
BA.5.3.3,1230195,479,478,478,478,478,1,1,0.0020876826722338203,0.0020876826722338203
BA.5.3.4,1270112,16,16,16,16,16,0,0,0.0,0.0
BA.5.3.5,1349073,120,120,120,120,120,0,0,0.0,0.0
BA.5.5,1189181,9976,9972,9970,9973,9971,4,3,0.00040096230954290296,0.0003007217321571772
BA.5.5.1,1264594,307,292,292,293,293,15,14,0.048859934853420196,0.04560260586319218
BA.5.5.2,1263099,180,180,180,180,180,0,0,0.0,0.0
BA.5.5.3,1261697,82,82,82,82,82,0,0,0.0,0.0
BA.5.6,2744454,6433,6433,6430,6433,6430,0,0,0.0,0.0
BA.5.6.1,1278245,32,32,32,32,32,0,0,0.0,0.0
BA.5.6.2,1264742,172,172,172,172,172,0,0,0.0,0.0
BA.5.6.3,1354785,20,15,15,20,20,5,0,0.25,0.0
BA.5.6.4,1357142,14,14,14,14,14,0,0,0.0,0.0
BA.5.7,1333489,3,3,3,3,3,0,0,0.0,0.0
BA.5.8,1241787,661,661,660,661,660,0,0,0.0,0.0
BA.5.9,1266308,344,344,344,344,344,0,0,0.0,0.0
BB.2,258854,67,67,67,67,67,0,0,0.0,0.0
BC.1,1012544,2,2,2,2,2,0,0,0.0,0.0
BD.1,906385,1697,1367,1367,1653,1653,330,44,0.1944608131997643,0.02592810842663524
BE.1,1223558,3163,3158,3148,3162,3152,5,1,0.0015807777426493834,0.0003161555485298767
BE.1.1,2703486,2650,2641,2639,2650,2648,9,0,0.0033962264150943396,0.0
BE.1.1.1,1296923,286,286,286,286,286,0,0,0.0,0.0
BE.1.1.2,1275513,269,243,243,243,243,26,26,0.09665427509293681,0.09665427509293681
BE.1.2,1295022,171,171,171,171,171,0,0,0.0,0.0
BE.1.2.1,2745735,85,85,85,85,85,0,0,0.0,0.0
BE.1.3,1251814,71,71,71,71,71,0,0,0.0,0.0
BE.1.4,1242596,426,426,423,426,423,0,0,0.0,0.0
BE.1.4.1,1280768,34,34,34,34,34,0,0,0.0,0.0
BE.1.4.2,1363308,48,48,48,48,48,0,0,0.0,0.0
BE.1.4.3,1329515,4,4,4,4,4,0,0,0.0,0.0
BE.1.4.4,1274991,14,14,14,14,14,0,0,0.0,0.0
BE.10,1408643,21,21,21,21,21,0,0,0.0,0.0
BE.11,1329667,1,1,1,1,1,0,0,0.0,0.0
BE.12,1253634,65,65,64,65,64,0,0,0.0,0.0
BE.2,1271123,236,236,235,236,235,0,0,0.0,0.0
BE.3,1213062,1560,1560,1560,1560,1560,0,0,0.0,0.0
BE.4,1293422,180,180,180,180,180,0,0,0.0,0.0
BE.4.1,1356162,27,27,27,27,27,0,0,0.0,0.0
BE.4.1.1,1360522,27,27,27,27,27,0,0,0.0,0.0
BE.4.2,1391535,18,18,18,18,18,0,0,0.0,0.0
BE.5,2739660,100,100,100,100,100,0,0,0.0,0.0
BE.7,2713848,9,9,9,9,9,0,0,0.0,0.0
BE.8,1398600,5,5,5,5,5,0,0,0.0,0.0
BF.1,1296932,1060,1060,1059,1060,1059,0,0,0.0,0.0
BF.1.1,1227903,71,71,71,71,71,0,0,0.0,0.0
BF.10,1248329,3590,3567,3566,3589,3588,23,1,0.006406685236768802,0.0002785515320334262
BF.10.1,1396568,1,1,1,1,1,0,0,0.0,0.0
BF.11,2707778,651,639,639,643,643,12,8,0.018433179723502304,0.01228878648233487
