date,elapsed_time,user_time,sys_time,max_memory
2021-05-10,412.02811789512634,36468.09,236.36,133335302144
2021-05-11,397.5089421272278,33797.74,224.83,118271500288
2021-05-12,358.2812807559967,29367.87,190.72,101064056832
2021-05-13,399.59789276123047,34926.84,209.0,128523272192
2021-05-14,284.1890342235565,21541.38,141.3,105288695808
2021-05-15,254.36541604995728,16913.97,110.9,84543713280
2021-05-16,218.40412759780884,12273.39,88.33,74299183104
2021-05-17,376.1571943759918,31477.07,205.1,112033783808
2021-05-18,339.26368737220764,27617.34,166.62,118708310016
2021-05-19,318.1316795349121,23762.26,162.98,89912487936
2021-05-20,297.2372615337372,22181.06,154.15,102743511040
2021-05-21,262.46016359329224,15997.65,118.97,77589004288
2021-05-22,177.27334547042847,7692.76,65.28,46558343168
